model,phase,epoch,train_loss,valid_loss,accuracy,f1_score,precision_score,recall_score,ckpt,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_roc_auc_macro,classification_report
resnet34,transfer,19,0.6977782845497131,0.6418910026550293,0.7379237413406372,0.4706914080623026,0.7483157632336599,0.4235412416504084,,,,,,,
resnet34,transfer,20,0.7205969095230103,0.5721765756607056,0.777797281742096,0.629743741798367,0.68031808980774,0.594896031103287,,,,,,,
resnet34,transfer,21,0.6885018944740295,0.5752946138381958,0.7727033495903015,0.6066736935575515,0.729151420120036,0.5533920397095191,,,,,,,
resnet34,transfer,22,0.6791570782661438,0.5552788376808167,0.7807834148406982,0.6017512070154307,0.7421992454178382,0.5574631347913906,,,,,,,
resnet34,transfer,23,0.6874366402626038,0.5273450613021851,0.798173189163208,0.6715735648501916,0.7287056345341033,0.6300463646060896,,,,,,,
resnet34,transfer,24,0.6613367199897766,0.5646082162857056,0.7751624584197998,0.6029623759586581,0.7816214750351846,0.5344473124163912,,,,,,,
resnet34,transfer,25,0.6435323357582092,0.5150906443595886,0.8008080124855042,0.6709176867660727,0.7478269170556759,0.6327949881501441,,,,,,,
resnet34,transfer,26,0.6400389075279236,0.5144908428192139,0.8034428358078003,0.6748821778017682,0.7603262326908409,0.6490920528993064,,,,,,,
resnet34,transfer,27,0.6054251194000244,0.4811184108257293,0.8143333792686462,0.700327711829433,0.7640325111899643,0.6564192246458405,,,,,,,
resnet34,transfer,28,0.5801502466201782,0.4625166654586792,0.8215352296829224,0.707587045340509,0.7968434943607238,0.6565588135018239,,,,,,,
resnet34,transfer,29,0.5993313789367676,0.4493533968925476,0.8262779116630554,0.7099644246280027,0.8151523503427484,0.6470828623138953,,,,,,,
resnet34,transfer,30,0.5896786451339722,0.4264689981937408,0.849639892578125,0.765970247117478,0.7862622895849556,0.7522871963264672,,,,,,,
resnet34,transfer,31,0.5549899935722351,0.4142756760120392,0.8457754850387573,0.7593225847425746,0.7931344046540121,0.736996390524051,,,,,,,
resnet34,transfer,32,0.5613601803779602,0.4125294685363769,0.8499912023544312,0.7723420822423395,0.7996280265454916,0.7525749461902066,,,,,,,
resnet34,transfer,33,0.5634747743606567,0.3895121216773987,0.8605304956436157,0.7898713996127331,0.8212910138560044,0.7641387839030361,,,,,,,
resnet34,transfer,34,0.5329483151435852,0.3880273997783661,0.8578956723213196,0.785066574300878,0.8138530916147053,0.763368036259132,,,,,,,
resnet34,transfer,35,0.5497023463249207,0.3732446432113647,0.876866340637207,0.8037443550644763,0.8466233312338382,0.7707268612730105,,,,,,,
resnet34,transfer,36,0.5026165246963501,0.3513834476470947,0.883189857006073,0.8196405583893961,0.8562339202739864,0.7896609233184898,,,,,,,
resnet34,transfer,37,0.4824399948120117,0.3346563577651977,0.8940804600715637,0.8367636742191532,0.8569676227045665,0.8235964392959729,,,,,,,
resnet34,transfer,38,0.4895096123218536,0.328044980764389,0.897066593170166,0.8480596963910753,0.8499949916204705,0.8546968798690904,,,,,,,
resnet34,transfer,39,0.4472782909870147,0.3148044645786285,0.8997014164924622,0.8495092995147744,0.8666335662929784,0.8363102742128385,,,,,,,
resnet34,transfer,40,0.4480890929698944,0.3059552609920501,0.8963639736175537,0.8430706062798,0.905854690412342,0.7978225026848611,,,,,,,
resnet34,transfer,41,0.455008715391159,0.29123255610466,0.914807677268982,0.8783661646199216,0.8741476388461769,0.8833667087784732,,,,,,,
resnet34,transfer,42,0.422300785779953,0.2700115144252777,0.9184963703155518,0.8838581914135133,0.9092772690764936,0.8616043922222054,,,,,,,
resnet34,transfer,43,0.4549953937530517,0.2701032757759094,0.9227120876312256,0.8888154026560745,0.9021170390946536,0.8795602460722725,,,,,,,
resnet34,transfer,44,0.4225415587425232,0.2582462430000305,0.9316704869270324,0.9012180046335704,0.906190512196184,0.8971380979157608,,,,,,,
resnet34,transfer,45,0.3732571601867676,0.2450148612260818,0.926049530506134,0.8961369920419744,0.9130380450109008,0.8833380895405177,,,,,,,
resnet34,transfer,46,0.351010113954544,0.2310054451227188,0.9334270358085632,0.9039413831871034,0.9405673497826113,0.8723096071410217,,,,,,,
resnet34,transfer,47,0.358650654554367,0.2229290306568145,0.9408044815063475,0.9153905638349192,0.9294983616339229,0.9027277806733892,,,,,,,
resnet34,transfer,48,0.3462093472480774,0.2202167510986328,0.9388722777366638,0.9134300123153626,0.9331856353863144,0.8964455847304776,,,,,,,
resnet34,transfer,49,0.3187083899974823,0.205753356218338,0.9457228183746338,0.9246256619194296,0.9333460356280504,0.9169685111535004,,,,,,,
resnet34,transfer,50,0.3510413467884063,0.1955537050962448,0.9513437747955322,0.9321215776541808,0.9315891928607908,0.9333666661477508,,,,,,,
resnet34,transfer,51,0.2926197648048401,0.1859380453824997,0.9545055627822876,0.9366755697051112,0.9505504879768588,0.9239798233872524,,,,,,,
resnet34,transfer,52,0.2824061214923858,0.1952050924301147,0.9513437747955322,0.9334502684223634,0.9571914205591312,0.9122456434046938,,,,,,,
resnet34,transfer,53,0.2971242666244507,0.1771285384893417,0.9576672911643982,0.94026012945352,0.9577977349075116,0.9239722609874732,,,,,,,
